Wikipedia data,,,MAG,,,,Status,,Note
pageid,name,born (year),author_id,author_name,pub count,citation count,MAG id,different name,
931182,Thomas Spencer Baynes,1823,no info,no info,0,0,no,diff,
248859,Herbert Spencer,1820,2128068919,Herbert Spencer,369,3501,,,
362445,Othmar Spann,1878,1309510278,Othmar Spann,18,123,,,
4240618,Ernest Sosa,1940,2599197167,Ernest Sosa,215,4359,,,
1254755,Abdolkarim Soroush,1945,2979815565,Abdolkarim Soroush,0,0,,,Abdolkarim Soroush
640818,Georges Sorel,1847,2461125227,Georges Sorel,83,557,,,
829763,Vladimir Solovyov,1852,no info,no info,0,0,no,diff,
164654,Rabbi Dr.,1903,no info,no info,0,0,no,diff,
25664190,Socrates,-471,2024122420,Socrates E. Papapoulos,363,21168,,,
3349265,Elliott Sober,1948,651149800,Elliott Sober,213,10067,,,
1018174,Scott Soames,1945,280908661,Scott Soames,128,2121,,,
1060504,Jan Śniadecki,1756,no info,no info,0,0,no,diff,
56517,Raymond Smullyan,1919,2135246163,Raymond M. Smullyan,75,2122,,diff,Raymond M. Smullyan
1928282,Michael A. Smith,1954,no info,no info,0,0,no,diff,
968523,Huston Cummings Smith,1919,2191835669,Huston Smith,25,956,,diff,Huston Smith
2832996,Barry Smith,1952,2471866511,Barry Smith,595,15849,,,
1814,Adam Smith,1722,2132461468,Adam Smith,267,14118,,,
440324,John Jamieson Carswell Smart,1920,2927703921,J. J. C. Smart,0,0,,diff,J. J. C. Smart
962308,Peter Sloterdijk,1947,2632274183,Peter Sloterdijk,62,1351,,,
453765,Thoralf Skolem,1887,2314099911,Th. Skolem,0,0,,diff,Th. Skolem
4868,B. F. Skinner,1904,2490080893,B. F. Skinner,217,38242,,,
23721,Peter Singer,1946,2620142859,Peter Singer,782,27009,,,
106540,Georg Simmel,1858,2252173405,Georg Simmel,146,10753,,,
206999,Henry Sidgwick,1838,2501585190,Henry Sidgwick,77,1813,,,
16909513,Daryush Shokof,1954,no info,no info,0,0,no,diff,
3841207,Sydney Shoemaker,1931,2169485023,Sydney Shoemaker,72,3358,,,
293932,Shinran (親鸞),1172,no info,no info,0,0,,,
1411623,Lev Shestov,1866,2292535537,Lev Shestov,28,54,,,
1175951,Darius Shayegan,1935,1613132563,Darius Shayegan,0,0,,diff,Darius Shayegan
177582,Sextus Empiricus,158,370568582,Empiricus Sextus,13,299,,,
779628,Michel Serres,1930,1989750038,Michel Serres,85,1886,,,
1212497,Victor Serge,1890,2421898414,Victor Serge,33,85,,,
75150,Lucius Annaeus Seneca,-5,no info,no info,0,0,,,
51335,Amartya Kumar Sen,1933,2248590689,Amartya Sen,747,107230,,diff,https://academic.microsoft.com/author/2248590689/publication/search?q=Amartya%20Sen&qe=Composite(AA.AuId%253D2248590689)&f=&orderBy=0
340898,Wilfrid Sellars,1912,2071712243,Wilfrid Sellars,75,3570,,,
1061121,Michael Sendivogius,1565,2012626572,Michael Grätzel,1440,212575,,,
743717,Charles Secrétan,1814,no info,no info,0,0,no,diff,
40060815,Juan José Sebreli,1930,38869341,Juan José Sebreli,12,4,,,
147079,John Rogers Searle,1932,2260550305,John R. Searle,234,31006,,diff,https://academic.microsoft.com/author/2260550305/publication/search?q=John%20R.%20Searle&qe=Composite(AA.AuId%253D2260550305)&f=&orderBy=0
1010808,Roger Scruton,1944,2257512550,Roger Scruton,82,1367,,,
1029,Albert Schweitzer,1874,2121859764,Albert Schweitzer,276,901,,,
106139,Alfred Schütz,1899,no info,no info,0,0,no,diff,
3314471,Anna Maria van Schurman,1607,1830420883,David J. Schurman,153,7659,,,
15827,Joseph Schumpeter,1883,2040904325,Joseph A. Schumpeter,141,47317,,diff,https://academic.microsoft.com/author/2040904325/publication/search?q=Joseph%20A.%20Schumpeter&qe=Composite(AA.AuId%253D2040904325)&f=&orderBy=0
7728554,Gottlob Ernst Schulze,1761,2152162392,Gottlob Ernst Schulze,0,0,,,https://academic.microsoft.com/author/2152162392/publication/search?q=Gottlob%20Ernst%20Schulze&qe=Composite(AA.AuId%253D2152162392)&f=&orderBy=0
9942,Erwin Schrödinger,1887,144011413,Erwin Schrödinger,212,12725,,,
700,Arthur Schopenhauer,1788,2525335017,Arthur Schopenhauer,241,2427,,,
407082,Carl Schmitt,1888,2112661597,Carl Schmitt,195,6409,,,
207322,Moritz Schlick,1882,1963924009,Moritz Schlick,64,1298,,,
179109,Friedrich Schleiermacher,1768,2242898538,Friedrich Schleiermacher,203,1014,,,
2068941,Hubert Schleichert,1935,2632663290,Hubert Schleichert,0,0,,,https://academic.microsoft.com/author/2632663290/publication/search?q=Hubert%20Schleichert&qe=Composite(AA.AuId%253D2632663290)&f=&orderBy=0
190046,Friedrich Schlegel,1772,2571060796,Friedrich von Schlegel,105,392,,diff,https://academic.microsoft.com/author/2571060796/publication/search?q=Friedrich%20von%20Schlegel&qe=Composite(AA.AuId%253D2571060796)&f=&orderBy=0
1795879,Ferdinand Canning Scott Schiller,1864,2805137021,F. C. S. Schiller,0,0,,diff,https://academic.microsoft.com/author/2805137021/publication/search?q=F.%20C.%20S.%20Schiller&qe=Composite(AA.AuId%253D2805137021)&f=&orderBy=0
177557,Friedrich Wilhelm Joseph Schelling,1774,2010385614,Friedrich Wilhelm Joseph von Schelling,187,969,,diff,https://academic.microsoft.com/author/2010385614/publication/search?q=Friedrich%20Wilhelm%20Joseph%20von%20Schelling&qe=Composite(AA.AuId%253D2010385614)&f=&orderBy=0
796629,Max Scheler,1874,2056365340,Max Scheler,89,2059,,,
3957449,T. M. Scanlon,1940,2899272028,Thomas Scanlon,0,0,,diff,https://academic.microsoft.com/author/2899272028/publication/search?q=Thomas%20Scanlon&qe=Composite(AA.AuId%253D2899272028)&f=&orderBy=0
181156,Friedrich Carl von Savigny,1779,2023803300,Friedrich Karl von Savigny,15,288,,diff,https://academic.microsoft.com/author/2023803300/publication/search?q=Friedrich%20Karl%20von%20Savigny&qe=Composite(AA.AuId%253D2023803300)&f=&orderBy=0
1318253,Fernando Savater,1947,2635576594,Fernando Savater,31,523,,,
11041,Ferdinand de Saussure,1857,1469413541,Ferdinand de Saussure,53,7959,,,
103256,John Ralston Saul,1947,2099620093,John Ralston Saul,0,0,,,https://academic.microsoft.com/author/2099620093/publication/search?q=John%20Ralston%20Saul&qe=Composite(AA.AuId%253D2099620093)&f=&orderBy=0
16340,Jean-Paul Sartre,1905,1985907104,Jean Paul Sartre,346,11263,,diff,https://academic.microsoft.com/author/1985907104/publication/search?q=Jean%20Paul%20Sartre&qe=Composite(AA.AuId%253D1985907104)&f=&orderBy=0
851595,Prabhat Ranjan Sarkar,1921,no info,no info,0,0,no,diff,
182082,George Santayana,1863,1938805155,George Santayana,248,1352,,,
581057,Michael J. Sandel,1953,2171477063,Michael J. Sandel,32,4894,,,
4868799,Francisco Sanches,1549,2336981330,Joao Sanches,127,1022,,,
2083364,Nathan U. Salmon,1950,2082593486,Nathan Salmon,60,1407,,diff,https://academic.microsoft.com/author/2082593486/publication/search?q=Nathan%20Salmon&qe=Composite(AA.AuId%253D2082593486)&f=&orderBy=0
20682539,Mark Sainsbury,1942,2505301392,R. M. Sainsbury,0,0,,diff,https://academic.microsoft.com/author/2505301392/publication/search?q=R.%20M.%20Sainsbury&qe=Composite(AA.AuId%253D2505301392)&f=&orderBy=0
1004355,Gilbert Ryle,1900,1909718755,Gilbert Ryle,51,6653,,,
852632,John of Ruusbroec,1292,2595753901,Gabriele Of,21,128,,,
4163,The Earl Russell,1872,no info,no info,0,0,no,diff,
1439425,Michael Escott Ruse,1940,2130151189,Michael Ruse,646,4761,,diff,https://academic.microsoft.com/author/2130151189/publication/search?q=Michael%20Ruse&qe=Composite(AA.AuId%253D2130151189)&f=&orderBy=0
2763538,Otto Rühle,1874,no info,no info,0,0,no,diff,
494060,Josiah Royce,1855,1588527682,Josiah Royce,208,1425,,,
1083737,Manabendra Nath Roy,1887,no info,no info,0,0,no,diff,
212384,Henri de Saint-Simon,1760,no info,no info,0,0,no,diff,
15941,Jean-Jacques Rousseau,1712,2165753272,Jean-Jacques Rousseau,438,6969,,,
101891,Gian-Carlo Rota,1932,702342615,Gian-Carlo Rota,1310,9574,,,
1888299,Sir W. D. Ross,1877,no info,no info,0,0,no,diff,
806370,Antonio Rosmini-Serbati,1797,376728889,Antonio Rosmini Serbati,21,38,,diff,https://academic.microsoft.com/author/376728889/publication/search?q=Antonio%20Rosmini%20Serbati&qe=Composite(AA.AuId%253D376728889)&f=&orderBy=0
230629,Franz Rosenzweig,1886,1908734350,Franz Rosenzweig,45,524,,,
1000334,Vasily Rozanov,1855,2572420450,Vasily Rozanov,0,0,,,https://academic.microsoft.com/author/2572420450/publication/search?q=Vasily%20Rozanov&qe=Composite(AA.AuId%253D2572420450)&f=&orderBy=0
205495,Richard Rorty,1931,748507223,Richard Rorty,307,19090,,,
1826352,Avital Ronell,1952,2075845156,Avital Ronell,59,896,,,
41980,Bernhard Riemann,1826,2160412405,Bernhard Riemann,33,823,,,
457623,Paul Ricœur,1913,2361704007,Paul Ricœur,135,4360,,,
1183207,Heinrich Rickert,1863,2078685245,Heinrich Rickert,41,398,,,
576633,Nicholas Rescher,1928,2293318928,Nicholas Rescher,549,6189,,,
174684,Charles Renouvier,1814,2560945668,Charles Renouvier,23,54,,,
1294418,Karl Leonhard Reinhold,1757,2796503428,Karl Leonhard Reinhold,11,20,,,
988090,Adolf Reinach,1883,2395072589,Adolf Reinach,0,0,,,https://academic.microsoft.com/author/2395072589/publication/search?q=Adolf%20Reinach&qe=Composite(AA.AuId%253D2395072589)&f=&orderBy=0
29780,Thomas Reid,1710,2124672951,Thomas Reid,111,1400,,,
1546863,Hans Reichenbach,1891,2119186924,Hans Reichenbach,337,11600,,,
198336,Wilhelm Srijan Reich,1897,2103213406,Wilhelm Reich,0,0,,diff,https://academic.microsoft.com/author/2103213406/publication/search?q=Wilhelm%20Reich&qe=Composite(AA.AuId%253D2103213406)&f=&orderBy=0
59041318,August Wilhelm Rehberg,1756,no info,no info,0,0,no,diff,
8231605,Pierre-Sylvain Régis,1631,1860203126,Régis Bataille,283,20510,,,
3313488,Paul Rée,1849,no info,no info,0,0,no,diff,
2424356,Joseph Raz,1939,1920287254,Joseph Raz,168,7215,,,
15596,John Ray,1627,2092940112,John J. Ray,118,1877,,,
123612,John Rawls,1921,2100846658,John Rawls,104,13108,,,
174681,Felix Ravaisson-Mollien,1813,no info,no info,0,0,no,diff,
2305516,Hastings Rashdall,1858,2672634465,Hastings Rashdall,0,0,,,https://academic.microsoft.com/author/2672634465
1186741,Ram Gopal Varma,1962,no info,no info,0,0,no,diff,
314980,Jacques Rancière,1940,1558854050,Jacques Rancière,203,8394,,,
20432929,Paul Ramsey,1913,2126100962,Paul Ramsey,0,0,,,https://academic.microsoft.com/author/2126100962/publication/search?q=Paul%20Ramsey&qe=Composite(AA.AuId%253D2126100962)&f=&orderBy=0
238285,Frank P. Ramsey,1903,2134474647,Frank Plumpton Ramsey,0,0,,diff,https://academic.microsoft.com/author/2134474647/publication/search?q=Frank%20Plumpton%20Ramsey&qe=Composite(AA.AuId%253D2134474647)&f=&orderBy=0
370442,Karl Rahner,1904,836562408,Karl Rahner,124,713,,,
422504,Sri Ramakrishna Paramahamsa,1836,no info,no info,0,0,no,diff,
2015702,Janet Radcliffe Richards,1943,3004682803,Janet Radcliffe Richards,0,0,,,https://academic.microsoft.com/author/3004682803/publication/search?q=Janet%20Radcliffe%20Richards&qe=Composite(AA.AuId%253D3004682803)&f=&orderBy=0
3242380,Eduardo Rabossi,1930,2644333580,Eduardo Rabossi,0,0,,,https://academic.microsoft.com/author/2644333580/publication/search?q=Eduardo%20Rabossi&qe=Composite(AA.AuId%253D2644333580)&f=&orderBy=0
33833,Willard Van Orman Quine,1908,1969170855,Willard Van Orman Quine,220,23754,,,
23275,Pythagoras,-571,94552956,Pythagoras Karampiperis,70,616,,,
140651,Pyrrho,-361,2080515689,Alexandre dos Santos Pyrrho,32,306,,,
75233,Hilary Putnam,1926,2059544886,Hilary Putnam,324,16853,,,
23979,Ptolemy,98,1277892917,Adam S. Ptolemy,12,343,,,
